Ant;Trial;Condition;Average angular velocity;blocked oscillation;nb_osci;nb_block
01;1;V;60.23717685686246;0.5555555555555556;16;20
01;2;H;55.72422048892341;0.4444444444444444;20;16
02;1;V;53.61763940598485;0.40476190476190477;25;17
03;1;H;90.19542360847761;0.35294117647058826;22;12
03;2;V;67.82886058285277;0.3888888888888889;22;14
04;1;V;44.845846034805604;0.23529411764705882;26;8
04;2;H;68.73374229536702;0.45;22;18
05;1;H;52.19662102305242;0.2571428571428571;26;9
06;1;V;24.29346751874995;0.10714285714285714;25;3
06;2;H;40.8541900197424;0.3157894736842105;26;12
07;1;H;87.04250890748213;0.5;20;20
08;1;V;67.8592883091584;0.32432432432432434;25;12
08;2;H;64.69681475640249;0.35135135135135137;24;13
09;1;H;60.73605388724563;0.5;16;16
09;2;V;55.34919632921702;0.3333333333333333;24;12
10;1;V;37.905387070971734;0.1388888888888889;31;5
10;2;H;72.66929735019389;0.46153846153846156;21;18
11;1;H;44.95362166592762;0.25;27;9
11;2;V;47.98541734144656;0.15151515151515152;28;5
12;1;V;49.8422520480138;0.21052631578947367;30;8
12;2;H;55.20048044161057;0.3888888888888889;22;14
13;1;H;67.1491738774811;0.4444444444444444;20;16
13;2;V;42.90935074643692;0.18181818181818182;36;8
14;1;V;57.63737123201176;0.3888888888888889;22;14
14;2;H;56.9622272063451;0.3333333333333333;24;12
15;1;H;56.91287820676404;0.18421052631578946;31;7
15;2;V;38.039262525313845;0.1388888888888889;31;5
16;1;V;43.12076078948327;0.35;26;14
16;2;H;59.045305758664945;0.40476190476190477;25;17
17;1;H;64.69382423799195;0.55;18;22
17;2;V;65.3784658799027;0.35135135135135137;24;13
18;1;V;45.391158049983645;0.21052631578947367;30;8
18;2;H;69.17247066804585;0.39473684210526316;23;15
19;1;H;51.86171906491904;0.42105263157894735;22;16
19;2;V;58.131873724377286;0.45161290322580644;17;14
20;1;V;44.381120653499885;0.20512820512820512;31;8
20;2;H;76.63173581353483;0.5277777777777778;17;19
21;1;H;78.9941451273902;0.5526315789473685;17;21
21;2;V;91.18678821341999;0.475;21;19
22;1;V;76.69843178865581;0.5882352941176471;14;20
22;2;H;56.95858939276617;0.40540540540540543;22;15
23;1;H;69.21165362529851;0.475;21;19
24;1;V;87.57932145383609;0.6756756756756757;12;25
24;2;H;76.69496678711641;0.4523809523809524;23;19
25;1;H;40.66561808540132;0.3684210526315789;24;14
25;2;V;39.68470736982887;0.2894736842105263;27;11
26;1;V;34.448204295684484;0.3125;22;10
26;2;H;40.15414099562861;0.34285714285714286;23;12
27;1;H;63.22159552370397;0.425;23;17
27;2;V;44.38033715981843;0.15;34;6
28;1;V;45.856914503348555;0.2894736842105263;27;11
29;1;H;67.06488385574606;0.46153846153846156;21;18
30;1;V;70.88816904276061;0.4117647058823529;20;14
31;1;H;95.48788244535733;0.5952380952380952;17;25
32;1;V;49.644570481530884;0.4444444444444444;20;16
32;2;H;71.31501709513898;0.5142857142857142;17;18
